,edge,strength,tval,abstval,pval,logpval,fdr,bfr,distance,inv_dist,include,interaction,cocitation,string,genemania,npath,coexpression,experimental,database,textmining
3486,TSC2pT1462_STAT5,0.0010402746961008199,0.32681452996867305,0.32681452996867305,0.743876628904825,0.128499085729196,0.8198865162363431,1.0,1.0,1.0,1.0,0,0,0,0.0,6,0,0,0,0
3487,YAPpS127_STAT5,0.0006735065831238441,0.332981398044291,0.332981398044291,0.739218190662824,0.13122735454866,0.816656224933524,1.0,1.0,1.0,1.0,0,0,0,0.0,6,0,0,0,0
3488,ACC1_STAT5,0.00271701298957495,1.2750535701863,1.2750535701863,0.202586732710671,0.693388999741845,0.30086619553926397,1.0,-2.0,1.0,,0,0,0,0.0,0,0,0,0,0
3489,AKTpT308_STAT5,-0.00144312737018664,-0.6824602787177679,0.6824602787177679,0.495106161574353,0.30530166885920396,0.611633069087087,1.0,0.0,0.0,0.0,1,6,309,4.4e-05,3,0,124,0,244
3490,AKT_STAT5,-0.00150614895886374,-1.1912785517398201,1.1912785517398201,0.233827200845698,0.631104969264612,0.337895232151777,1.0,0.0,0.0,0.0,1,6,309,4.4e-05,3,0,124,0,244
3491,b-CateninpS_STAT5,0.00605580073969488,2.13260933027236,2.13260933027236,0.033200084409642,1.4788608121214097,0.0617011744486316,1.0,1.0,0.0,1.0,0,1,293,0.0,41,0,0,0,293
3492,Fibronectin_STAT5,-0.000246576395098267,-0.10583871449013,0.10583871449013,0.9157315671525571,0.0382318145301926,0.9409051110648191,1.0,1.0,0.0,1.0,1,0,420,0.0,70,61,109,0,362
3493,HSP27_STAT5,0.00323429428115306,1.29224201936447,1.29224201936447,0.19657217482451897,0.7064779573859219,0.293943802919582,1.0,2.0,1.0,1.0,0,0,234,0.0,58,0,67,0,213
3494,IGF1R-beta_STAT5,0.0035233039791556795,1.74300263547409,1.74300263547409,0.0816408242806705,1.08809261911104,0.137857882731555,1.0,0.0,1.0,0.0,1,2,0,0.00018999999999999998,3,0,0,0,0
3495,IRS1_STAT5,0.000121887348472523,0.0520461434753805,0.0520461434753805,0.9585023308722529,0.0184068266735279,0.9715596280132979,1.0,1.0,1.0,1.0,0,0,440,0.0,90,62,0,0,428
3496,p27_STAT5,0.000533457289844388,0.22636196294086702,0.22636196294086702,0.820966215263128,0.0856747147766576,0.8771818250039219,1.0,1.0,1.0,0.0,0,0,395,0.0,11,51,0,0,389
3497,c-Myc_STAT5,-0.00166500928342376,-0.5071483879683499,0.5071483879683499,0.612162632849424,0.213133183792243,0.714400836762528,1.0,1.0,0.0,1.0,0,2,0,0.00015,79,0,0,0,0
3498,SMAD3_STAT5,0.00260603458109121,2.27800751254834,2.27800751254834,0.0229366314040506,1.63947036455404,0.0436877861964804,1.0,1.0,1.0,0.0,0,0,0,0.0,39,0,0,0,0
3499,STAT3_STAT5,-0.00285723865404263,-5.00704636719579,5.00704636719579,6.53116479989678e-07,6.18500935761379,1.77492189151067e-06,0.00524844403319705,1.0,0.0,1.0,1,32,976,0.00064,69,95,688,900,270
3500,STAT5_STAT5,0.0,,,,,,,-1.0,-1.0,-1.0,0,0,0,0.0,1,0,0,0,0
3501,STAT5pY694_STAT5,0.0022643004256101,1.2693228216899,1.2693228216899,0.20462157722601101,0.6890485721092071,0.303588927037448,1.0,-1.0,-1.0,-1.0,0,0,0,0.0,1,0,0,0,0
3502,COX2_STAT5,-0.0977326459795545,-42.6465267838426,42.6465267838426,3.592431120823038e-227,226.444611550023,6.713668950449757e-225,2.8868776486933982e-223,1.0,1.0,1.0,0,1,0,0.0,23,0,0,0,0
3503,PAX2_STAT5,-0.0014462636636555699,-0.664603456738009,0.664603456738009,0.506457534127998,0.295456963861563,0.6223077590600289,1.0,1.0,1.0,1.0,0,0,0,0.0,34,0,0,0,0
3504,PLK1_STAT5,-0.00480226113704281,-2.6499538106414198,2.6499538106414198,0.00817746997802452,2.08738104162698,0.0166290195421359,1.0,0.0,1.0,0.0,1,0,0,0.0,3,0,0,0,0
3505,YBIpS102_STAT5,0.000722063897376424,0.253088638404275,0.253088638404275,0.800251788024932,0.0967733468264495,0.8631319334381651,1.0,1.0,1.0,0.0,0,0,0,0.0,2,0,0,0,0
3506,CHK2pT68_STAT5,0.00376440481165612,1.17868143554363,1.17868143554363,0.238805711929109,0.6219552896464139,0.343668105491103,1.0,1.0,1.0,0.0,0,0,0,0.0,3,0,0,0,0
3507,S6pS235_STAT5,-0.042914934323055,-12.308523816342099,12.308523816342099,1.62035166249635e-32,31.790390720946498,8.703974572072649e-32,1.30211459598207e-28,-2.0,1.0,,0,1,0,0.0,0,0,0,0,0
3508,S6pS240_STAT5,-0.0437878853522205,-26.0658364987227,26.0658364987227,1.1012074018699597e-114,113.958130878117,2.0066445989630392e-113,8.849302681427019e-111,-2.0,1.0,,0,1,0,0.0,0,0,0,0,0
3509,4EBP1pT37_STAT5,-0.00156568048361805,-0.613271395587515,0.613271395587515,0.5398364998078471,0.267737754960607,0.652840648977556,1.0,-2.0,1.0,,0,0,421,0.0,0,61,0,0,409
3510,Caspase9_STAT5,0.00139414009157087,0.8943831489584159,0.8943831489584159,0.371332347763883,0.43023721656043107,0.48870402008361696,1.0,1.0,1.0,0.0,0,0,0,7.2e-05,4,0,0,0,0
3511,a-tubulin_STAT5,0.0027180157467352898,0.99593251563076,0.99593251563076,0.319524100933953,0.49549637848252,0.434303396314755,1.0,2.0,0.0,1.0,0,0,0,8.2e-05,21,0,0,0,0
